,subject,task,response_rate,percent_lottery,percent_risk,percent_ambiguity,conf_1,conf_2,conf_3,conf_4,negLL,gamma,beta,alpha,at_bound,LL,LL0,AIC,BIC,R2,correct,prob_span,fig_fn
0,23_IDM_0001,CRDM,0.963855422,0.4,0.4,0.4,0,1,8,71,10.63245396,0.586054359,0.73936136,1.370611569,0,-10.63245396,-55.45177444,27.26490792,30.02896119,0.808257642,0.95,0.990328511,23_IDM_0001/crdm/23_IDM_0001_crdm_model_fit.eps
1,23_IDM_0002,CRDM,0.963855422,1,1,1,0,0,0,80,3.814487467,8,4.167,0.125,1,-3.814487467,-55.45177444,13.62897493,16.3930282,0.931210723,0.975,0.500345023,23_IDM_0002/crdm/23_IDM_0002_crdm_model_fit.eps
2,23_IDM_0003,CRDM,0.963855422,0.525,0.56,0.466666667,5,13,19,43,17.85962256,1.863914556,0.320548927,0.718155173,0,-17.85962256,-55.45177444,41.71924512,44.48329839,0.677925139,0.9,0.99424127,23_IDM_0003/crdm/23_IDM_0003_crdm_model_fit.eps
3,23_IDM_0004,CRDM,0.963855422,0.5875,0.68,0.433333333,1,33,41,5,26.69545632,2.53333826,-0.497400427,0.445282085,0,-26.69545632,-55.45177444,59.39091263,62.1549659,0.518582469,0.8625,0.985677809,23_IDM_0004/crdm/23_IDM_0004_crdm_model_fit.eps
4,23_IDM_0005,CRDM,0.951807229,0.620253165,0.62,0.620689655,0,0,27,52,29.8449879,1.729322054,0.523232875,0.569742683,0,-29.8449879,-54.75862726,65.68997579,68.4288715,0.454971949,0.848101266,0.976887814,23_IDM_0005/crdm/23_IDM_0005_crdm_model_fit.eps
5,23_IDM_0006,CRDM,0.939759036,0.743589744,0.775510204,0.689655172,2,6,12,58,16.711199,5.31429482,0.33161639,0.414432886,0,-16.711199,-54.06548008,39.422398,42.13581566,0.690908155,0.923076923,0.999822806,23_IDM_0006/crdm/23_IDM_0006_crdm_model_fit.eps
6,23_IDM_0007,CRDM,0.951807229,0.924050633,0.897959184,0.966666667,0,1,37,41,8.791167831,7.954220649,0.151440442,0.217755091,0,-8.791167831,-54.75862726,23.58233566,26.32123137,0.839456022,0.987341772,0.936425674,23_IDM_0007/crdm/23_IDM_0007_crdm_model_fit.eps
7,23_IDM_0008,CRDM,0.963855422,0.875,0.86,0.9,3,12,16,49,11.13832645,7.595105526,0.29903508,0.306881752,0,-11.13832645,-55.45177444,28.2766529,31.04070617,0.799134896,0.95,0.998443081,23_IDM_0008/crdm/23_IDM_0008_crdm_model_fit.eps
8,23_IDM_0009,CRDM,0.963855422,0.6625,0.68,0.633333333,0,3,19,57,16.4585182,3.476765633,0.638682977,0.556557581,0,-16.4585182,-55.45177444,38.9170364,41.68108967,0.703192218,0.9375,0.999393586,23_IDM_0009/crdm/23_IDM_0009_crdm_model_fit.eps
9,23_IDM_0010,CRDM,0.963855422,0.575,0.62,0.5,0,18,23,39,31.14096112,1.480953409,0.204414454,0.587976573,0,-31.14096112,-55.45177444,68.28192224,71.04597551,0.438413623,0.9,0.964384032,23_IDM_0010/crdm/23_IDM_0010_crdm_model_fit.eps
10,23_IDM_0011,CRDM,0.963855422,0.325,0.38,0.233333333,1,15,23,41,24.45127473,0.453293335,-0.211736252,1.081142608,0,-24.45127473,-55.45177444,54.90254945,57.66660272,0.55905334,0.85,0.904383289,23_IDM_0011/crdm/23_IDM_0011_crdm_model_fit.eps
